λ,熵,重复率,命中率,峰值MB
0.060,1.4335,0.0189,0.1705,6378.3
0.090,1.2645,0.1238,0.1796,6378.3
0.120,1.2828,0.1796,0.1586,6378.3
0.150,1.0989,0.2683,0.1601,6378.3
0.200,0.9209,0.4308,0.4052,6378.3
基线(回响关),0.9923,0.0035,0.0,6524.1
