模型,方案,λ,熵,重复率,结论
Qwen3-4B,裸基座,未注入,0.43,0.014,基线
Qwen3-4B,全面纠正,0.059,0.68,0.009,有效
Qwen3-4B,思考链纠正,0.059,0.66,0.007,重复率最低
Qwen3-1.7B,预制全面纠正,0.03,0.40,0.84,❌坍缩
Qwen3-1.7B,思考链纠正,0.03,0.69,0.0036,✅从坍缩拉回健康区间
