模型,量化,旧λ,旧回重,新λ,新回熵,新回重,新命中,结论
Qwen3-0.6B,fp16,0.41,0.89,0.123,0.71,0.78,0.14,⚠️窗口极窄
Qwen3-0.6B,4bit,0.41,0.85,0.092,1.36,0.59,0.12,⚠️改善
Qwen3-1.7B,fp16,0.10,0.86,0.030,0.89,0.61,0.19,⚠️恢复偏强
Qwen3-1.7B,4bit,0.10,0.89,0.023,1.34,0.42,0.23,✅恢复可用
Qwen3-4B,fp16,0.098,0.18,0.059,1.36,0.06,0.15,✅优秀
Qwen3-4B,4bit,0.098,0.19,0.044,1.31,0.08,0.16,✅优秀
